target	contrast	d_FE	SE_FE	CI_lo	CI_hi	p_raw	discovery_coefficient	discovery_coefficient_SE	discovery_residual_SD	discovery_d	discovery_d_boot_CI_lo	discovery_d_boot_CI_hi	discovery_boot_SE_d	confirmatory_coefficient	confirmatory_coefficient_SE	confirmatory_residual_SD	confirmatory_d	confirmatory_d_boot_CI_lo	confirmatory_d_boot_CI_hi	confirmatory_boot_SE_d	weight_discovery	weight_confirmatory	weight_fraction_discovery	weight_fraction_confirmatory	opposite_direction_flag	interpretation_state	meta_C2_direct_minus_reconstruction
GATA2	POLE_vs_NSMP	-1.0711602288477375	0.31988323166976285	-1.6981313629204728	-0.44418909477500235	0.0008122166123789822	-4.776284458026613	3.344434331252086	7.615835657923572	-0.6271517234037647	-1.6420582528983563	0.2284102704606793	0.48122430655191534	-10.508078623545487	3.216135179163374	7.386162784162957	-1.4226708685701304	-2.253073708074811	-0.6411598032542815	0.4281748439237291	4.318221240488502	5.4545346356512505	0.44186320575462934	0.5581367942453707	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	-0.04349846546229319
GATA2	MMRd_vs_NSMP	-0.6199066525179047	0.20564193322974209	-1.0229648416481991	-0.2168484633876102	0.00257407152596932	-5.718426613900908	2.2276599631502365	7.615835657923572	-0.7508600330616922	-1.6022450314566632	0.0446260868165115	0.4058152598924726	-4.244546656266749	1.6387035639238108	7.386162784162957	-0.5746619429194947	-1.0628635374228652	-0.14749846242125897	0.23853599282503182	6.072160640338297	17.574871628420702	0.25678320100913726	0.7432167989908628	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	-0.04349846546229319
GATA2	POLE_vs_MMRd	-0.4373895626964306	0.32557070370744606	-1.075508141963025	0.20072901657016373	0.1791247147737236	0.9421421558742953	3.2638877106568764	7.615835657923572	0.1237083096579275	-0.8642187755212787	1.1405853970816766	0.5008360235175576	-6.2635319672787375	3.2151819011673113	7.386162784162957	-0.8480089256506357	-1.6799162967407104	0.03178927998917283	0.42844586941998297	3.9866570979767655	5.4476359794329445	0.42257083442984866	0.5774291655701514	True	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	-0.04349846546229319
GATA2	FROZEN_C2	-0.8890319061451143	0.2189655059650531	-1.3182042978366184	-0.45985951445361023	4.904205647235565e-05	-5.24735553596376	2.32607270023871	7.615835657923572	-0.6890058782327285	-1.4325225270005284	0.018615852449100335	0.36799762033981076	-7.376312639906118	1.9824451483296963	7.386162784162957	-0.9986664057448125	-1.5636143182942293	-0.5055735349842367	0.2724428245803244	7.384311001456593	13.472532860405895	0.3540473836963933	0.6459526163036068	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	-0.04349846546229319
SOX9	POLE_vs_NSMP	-1.050099734192495	0.3341679815318026	-1.705068977994828	-0.3951304903901618	0.0016755135339900885	-9.028636028160708	3.0761594016032374	7.004928827953994	-1.2888976105125969	-2.166853296414537	-0.4876794951789812	0.43716029575189197	-5.233059695973267	3.189431264026598	7.3248346828279844	-0.7144270038259593	-1.7560599931011158	0.3017982811735522	0.5183027481563862	5.232612541556539	3.722485175263444	0.5843166324950696	0.4156833675049304	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	0.03460271563237616
SOX9	MMRd_vs_NSMP	-0.6070935787947469	0.20248114799338293	-1.0039566288617774	-0.21023052872771636	0.0027151513141458576	-4.884790442777039	2.0489674666909186	7.004928827953994	-0.6973361989466198	-1.391846381096061	0.058670860751237286	0.3657869735610856	-4.1548326079251545	1.6250972325765258	7.3248346828279844	-0.5672254443729029	-1.0921153911592996	-0.12919995904919182	0.24312820517783743	7.473835408643299	16.917232261820438	0.3064169026800622	0.6935830973199377	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	0.03460271563237616
SOX9	POLE_vs_MMRd	-0.43372191931544635	0.30974791563599596	-1.0408278339619983	0.1733839953311057	0.16144098014052566	-4.143845585383669	3.0020738553881436	7.004928827953994	-0.591561411565977	-1.3294101705559722	0.16659766964530323	0.38574300146021606	-1.0782270880481128	3.18848590119992	7.3248346828279844	-0.14720155945305638	-1.1467354296859396	0.892446522258397	0.5197182432552646	6.720535649947018	3.702235803238175	0.6447935350144539	0.35520646498554603	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	0.03460271563237616
SOX9	FROZEN_C2	-0.7939939408612448	0.23336242361233592	-1.2513842911414232	-0.33660359058106637	0.0006679508697042039	-6.956713235468873	2.139485992829501	7.004928827953994	-0.9931169047296083	-1.7338808636031993	-0.3313840651234798	0.35391411572660664	-4.693946151949211	1.9659846937607182	7.3248346828279844	-0.640826224099431	-1.2858377561281213	-0.059680758049079144	0.31039936913055227	7.983700393572436	10.379067590837797	0.4347765217286686	0.5652234782713315	False	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	0.03460271563237616
HOXA9	POLE_vs_NSMP	-0.6761167223756436	0.36212104781698656	-1.3858739760969372	0.03364053134565004	0.061887426253798665	-3.6448272605258554	1.835792500421873	4.180406191449227	-0.8718835188745854	-1.8394922252009016	0.0652605126536945	0.4912127682886593	-1.9480910488467973	1.914454639611869	4.396728627167876	-0.4430773909513827	-1.5795759920233765	0.5104872021831612	0.5359382364333103	4.144390846823467	3.4815329865716445	0.5434608235496049	0.45653917645039516	False	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	0.014554267414479197
HOXA9	MMRd_vs_NSMP	-0.0212443334838002	0.19807420802104558	-0.4094697812050495	0.36698111423744917	0.9145871467183132	-0.9541111168955236	1.2227841986989292	4.180406191449227	-0.22823406941820665	-0.9119019690554906	0.6211416175618533	0.3847329697132043	0.23481141879332257	0.9754638614781552	4.396728627167876	0.05340593852947772	-0.41592535669825115	0.506156754488912	0.23104719310472757	6.755868543349129	18.73262358034903	0.26505563807235966	0.7349443619276405	True	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	0.014554267414479197
